surface_id,area,locations,match_or_surface,current_classification,wo_052_action,risk,validation_query
audit-web-production,repository,"apps/web/app; apps/web/components; apps/web/lib","104 files / 254 case-insensitive matched lines",CUSTOMER-FACING-CANDIDATES,"Manually classify; replace customer-visible brand only",high,"rg -n -i 'ask revenueos|revenue os|revenueos' apps/web/app apps/web/components apps/web/lib --glob '!**/*.test.*'"
audit-api-production,repository,apps/api/src,"265 files / 1642 case-insensitive matched lines",MIXED,"Replace public messages/generated content; retain Python package/import names",critical,"rg -n -i 'ask revenueos|revenue os|revenueos' apps/api/src --glob '!**/__pycache__/**'"
audit-tests,repository,"apps/web/e2e; apps/web/**/*.test.*; apps/api/tests","135 files / 872 case-insensitive matched lines",TEST-FIXTURE,"Change only where an approved customer-facing contract changes",medium,"rg -n -i 'ask revenueos|revenue os|revenueos' apps/web/e2e apps/api/tests; rg -n -i 'ask revenueos|revenue os|revenueos' apps/web --glob '**/*.test.*'"
audit-historical-docs,repository,docs,"279 files / 911 case-insensitive matched lines",HISTORICAL-DOCUMENTATION,"Retain history; annotate only misleading current-state guidance",low,"rg -n -i 'ask revenueos|revenue os|revenueos' docs"
audit-internal-other,repository,"packages; scripts; infra; root configuration","38 files / 194 case-insensitive matched lines",INTERNAL-TECHNICAL,"Probably retain; review public README/config descriptions individually",medium,"rg -n -i 'ask revenueos|revenue os|revenueos' packages scripts infra README.md package.json .env.example AGENTS.md"
app-shell,web,apps/web/components/app-shell.tsx,"RevenueOS word; R placeholder tile; Sales Brain badge",CUSTOMER-FACING,"Apply approved logo/lockup and accessible light/dark focus treatment",critical,"rg -n 'RevenueOS|Sales Brain|>R<' apps/web/components/app-shell.tsx"
root-metadata,web,apps/web/app/layout.tsx,"Page title and description; no OpenGraph image",CUSTOMER-FACING,"Set approved Oryntela metadata; coordinate social metadata with WO-053",critical,"rg -n 'RevenueOS|title|description|openGraph|twitter' apps/web/app/layout.tsx"
public-home-auth,web,"apps/web/app/page.tsx; apps/web/app/sign-in/page.tsx; apps/web/app/sign-up/page.tsx; apps/web/app/sign-out/page.tsx; apps/web/app/select-organisation/page.tsx","RevenueOS public/auth copy",CUSTOMER-FACING,"Replace brand copy and apply approved visual system without changing auth behaviour",high,"rg -n 'RevenueOS|Revenue OS' apps/web/app/page.tsx apps/web/app/sign-* apps/web/app/select-organisation/page.tsx"
protected-states,web,"apps/web/app/(protected)/error.tsx; protected loading/empty pages","Brand in safe error/loading/empty states",CUSTOMER-FACING,"Apply brand copy and tokens; preserve request IDs and recovery actions",high,"rg -n 'RevenueOS|Revenue OS' 'apps/web/app/(protected)'"
ask-ui,web,"apps/web/components/ask-revenueos.tsx; apps/web/components/core-search.tsx; apps/web/app/(protected)/assistant/page.tsx","Ask RevenueOS; RevenueOS answer; accessibility labels",CUSTOMER-FACING,"Use approved Ask Oryntela label and update accessible names/tests together",critical,"rg -n 'Ask RevenueOS|RevenueOS answer|ask RevenueOS' apps/web/components/ask-revenueos.tsx apps/web/components/core-search.tsx 'apps/web/app/(protected)/assistant/page.tsx'"
